location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,22,6,17,28,79,2021-08-14,day
CZ,0,0,0,0,1,2021-08-14,day
DE,92,27,71,117,336,2021-08-14,day
DK,2,0,1,2,6,2021-08-14,day
EE,10,3,8,13,38,2021-08-14,day
FI,25,7,19,32,92,2021-08-14,day
GB,665,196,512,845,2424,2021-08-14,day
GR,116,34,89,147,422,2021-08-14,day
HR,4,1,3,5,14,2021-08-14,day
IE,0,0,0,0,1,2021-08-14,day
IT,191,56,147,243,697,2021-08-14,day
LT,17,5,13,22,62,2021-08-14,day
NO,9,3,7,11,32,2021-08-14,day
PT,88,26,68,112,321,2021-08-14,day
RO,80,24,62,102,292,2021-08-14,day
SI,17,5,13,22,63,2021-08-14,day
