location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,490,41,273,725,3797,2021-07-17,day
BE,3568,296,1987,5280,27664,2021-07-17,day
BG,1668,138,929,2468,12932,2021-07-17,day
CY,15683,1302,8736,23211,121609,2021-07-17,day
CZ,1620,134,903,2398,12564,2021-07-17,day
DE,3302,274,1839,4887,25605,2021-07-17,day
DK,6266,520,3490,9273,48584,2021-07-17,day
EE,343,28,191,508,2662,2021-07-17,day
FI,3707,308,2065,5486,28741,2021-07-17,day
FR,16744,1390,9326,24781,129834,2021-07-17,day
GB,254943,21160,142003,377316,1976830,2021-07-17,day
GR,16328,1355,9095,24165,126606,2021-07-17,day
HR,445,37,248,659,3450,2021-07-17,day
HU,75,6,42,111,579,2021-07-17,day
IE,4235,352,2359,6268,32840,2021-07-17,day
IS,0,0,0,0,0,2021-07-17,day
IT,5351,444,2980,7919,41489,2021-07-17,day
LI,39,3,22,58,304,2021-07-17,day
LT,84,7,47,124,652,2021-07-17,day
LU,3790,315,2111,5609,29386,2021-07-17,day
LV,354,29,197,525,2748,2021-07-17,day
MT,117,10,65,173,907,2021-07-17,day
NL,3778,314,2104,5592,29296,2021-07-17,day
NO,906,75,505,1341,7026,2021-07-17,day
PL,366,30,204,541,2835,2021-07-17,day
PT,27234,2260,15169,40307,211174,2021-07-17,day
RO,195,16,108,288,1509,2021-07-17,day
SE,254,21,141,376,1969,2021-07-17,day
SI,80,7,45,119,622,2021-07-17,day
